/main$originNo,/main$no,/main$id,/main$changeYn,/main$name,/main$shoulder,/main$status,/main$editor,/main$create_time,/main$update_time,/hashtag,/entry_importance,/parts/part_id,/parts/means/tb_mean$excel_seq,/parts/means/origin_mean,/parts/means/mean_id,/parts/means/custom_field_1618478617845,/parts/means/custom_field_1618478675337,/parts/means/custom_field_1618478759648,/parts/means/custom_field_1618478959744,/parts/means/custom_field_1620198226283,/parts/means/custom_field_1620279904326,/parts/means/custom_field_1621872155340,/parts/means/custom_field_1621872185644,/parts/means/custom_field_1621872201495,/parts/means/custom_field_1621872208963,/parts/means/custom_field_1621872225913,/parts/means/custom_field_1624357879139,/parts/means/custom_field_1624357909352,/relateds/related_id,/relateds/related_type,/relateds/related_content,/relateds/related_entry_id,/custom_field_1628325084000,/custom_field_1619505925728,/learningMores/learning_info_title,/learningMores/learning_info_body_json,/learningMores/learning_info_id,/images/img_path,/images/img_title,/images/img_source
,,,1,표제어,,,,,,,,,,뜻풀이,,원전 표현,원전 표현 출처,참고자료,해설,,,원전 표현 2,원전 표현 3,원전 표현 4,원전 표현 5,원전 표현 6,,,,,,,,,,,,,,
1,1,001932d5e65c4ab2808a84163da1e3f4,1,양치기,0,집필완료,팡민,2021-05-19 17:43:28,2023-05-14 23:46:22,비유,★★★,f053076c279347b3b50a69a4be0762ca,1,"군중을 이끄는 자. 기존 가치를 수호하는 자들, 사제들을 의미한다.
이들은 기독교적 가치나 기존의 도덕 체계를 강요하며 군중을 지배한다.",d35350fe20024f3bb7bd483f0bf80173,"""나는 그들을 양치기라고 부르지만 그들은 착하고 의로운 자들을 자처한다. 나는 그들을 양치기라고 부르지만 그들은 올바른 믿음을 가진 신자를 자처한다.""

- 민음사『차라투스트라는 이렇게 말했다』1부 - 차라투스트라의 머리말 - 9, p.31.",,"박찬국, 『차라투스트라, 그에게 삶의 의미를 묻다』, 세창출판사, 2020,","다른 번역서들과 비교해 본 결과, ﹤br /﹥민음사 버전의 31쪽 중 ""하지만 차라투스트라는 양치기를 강도라고 부르리라.""라는 구절은 ﹤br /﹥""차라투스트라는 목자들에게 강도라고 불리기를 바란다.""(이진우 옮김, 휴머니스트출판그룹)로 보는 것이 이해하기 더 쉬운 것 같습니다. ﹤br /﹥[ 사제 : 차라투스트라 = 양치기 : 강도 ]의 구도로 파악하면 될 듯합니다.",,,,,,,,,,eb1269b0dab6450e8a1875978ea418d9,,가축 떼,7d917530add44e1d9b32d1772aa5af69,,,,,,,,
2,2,04b67c0592e04fb68e4d4194e1d6b4aa,1,행복,0,집필완료,팡민,2021-05-12 23:47:56,2023-05-29 23:05:04,개념어,★★★★★,f053076c279347b3b50a69a4be0762ca,1,"모든 인간이 추구하는 것. 행복은 자신의 삶과 어떻게 관계하는지에 따라, 힘에의 의지에 따라 다를 수밖에 없다. 

니체는 힘에의 의지가 병약한 ‘마지막 인간’의 행복과, 강인한 힘에의 의지를 가진 위버멘쉬적 삶을 사는 인간의 행복을 구분한다. 

니체가 비판하는, 힘에의 의지가 마비된 자들의 행복은 현실에 안주하며 누리는 몸과 마음의 평안이다. 반면 니체가 추구하는 위버멘쉬적 삶을 사는, 강인한 힘에의 의지의 소유자들에게 행복은 위험과 모험 속에서 자신의 위대함을 느끼는 것, ‘힘이 증가되고 있다는 느낌, 저항을 초극했다는 느낌’이다.
",3e39ea15396c43e6ac30e90f2caec947,""" 그대들이 이렇게 말하는 순간이다. 
""나에게 행복이란 무엇인가! 빈곤함과 더러움과 가련하기 그지없는 안일함이 아니던가. 
나의 행복은 생존 자체를 받아들여야 하리라."" ""

- 민음사『차라투스트라는 이렇게 말했다』1부 - 차라투스트라의 머리말 - 3, p.17.",,"최상욱, 『차라투스트라는 이렇게 말했다 메타포로 읽기』, 서광사, 2015.",,말종 인간,"""행복이란 무엇인가? 
- 힘이 증가되고 있다는 느낌, 저항을 초극했다는 느낌을 말한다.""

- 『안티크리스트』, 2",""" ""우리는 행복을 찾아냈다."" 
말종 인간들은 이렇게 말하고 눈을 깜빡인다. "" 

- 민음사『차라투스트라는 이렇게 말했다』1부 - 차라투스트라의 머리말 - 5, p.24.","""그것이 삶이었던가? 나는 죽음을 향해 말하련다. ‘좋다! 그렇다면 한 번 더!’

 […]

 그것이 바로 삶이었던가? 차라투스트라를 위해서라면, ‘좋다! 그렇다면 한 번 더! 라고’ 더없이 추악한 자의 말이었다. 그의 물음을 듣는 순간 보다 지체가 높은 인간들은 자신들이 변화했으며 건강을 되찾았다는 것을, 그리고 그것을 가능케 한 자가 누구인지를 돌연히 깨닫게 되었던 것이다.""

 ( 차라 - 몽중보행자의 노래 1 )",""" 생의 한가운데에서, -아니다! 삶은 나를 실망시키지 않았다. 해가 갈수록 나는 삶이 더 참되고, 더 열망할 가치가 있고, 더 비밀로 가득하다는 것을 발견하고 있다.""

 - 즐거운 학문 324. ","""위대함에 속하는 것. -커다란 고통을 가할 수 있는 힘과 의지를 자신 안에서 느끼지 못한다면 어찌 위대한 것에 도달할 수 있겠는가? 고통을 견디는 것은 최소한의 것이다. [...] 
하지만 커다란 고통을 가하고, 고통의 비명을 들으면서도 내심의 곤혹과 불안에 빠져들지 않는 것 – 이것이야말로 위대한 것이며, 위대함에 속하는 것이다.""

- 즐거운 학문 325. ","20= W II 10a. 1888년 여름
20[46]

﹤네 고난을 깊은 곳으로 던져라!
[...]
망각의 기술은 신적이지 않은가
[...]
네 가장 큰 고난을 바다에 던지라!
이곳이 바다니, 너를 바다에 던지라!﹥

- 니체, 『니체전집. 21 , 유고(1888년 초∼1889년 1월 초)』, 백승영, 책세상, 2004.
","﹤마지막 인간의 행복과 위버멘쉬의 행복﹥

여기서 마지막 인간은 삶을 부정하는 형이상학적 이분법을 퍼뜨린 형이상학자들을 비판하는 말이기도 하다. 마비되고 병약한 힘에의 의지를 가진 형이상학자들은 ‘행복’과 같은 최고의 가치를 갖는 것들은 자기원인을 가지며 자기동일성을 갖는 불변의 가치라고 보았으며, 이에 따라 생성과 변화는 고통의 원인이라고 보았다. 그래서 그들은 행복하기 위해서는 고통이 필연적으로 회피되어야 하는 것으로 간주했으며, 불변하고 초감각적인 ‘참된 세계’라는 허구를 행복한 세계로 제시했다. 

요점은 힘에의 의지가 마비된 이들에게 변화, 생성, 그리고 고통은 행복하기 위해 사라져야 것들이라는 것이다. 이들은 무리본능을 가졌기에 자기 자신과 관계하지 못하며 보편적이고 절대적인 가치를 따르는 자들이다. 그래서 자기 안에 내재된 변화의 가능성을 인식하지 못하고 자신의 고유한 행복을 추구하지 못한다. 

힘에의 의지가 마비된 이러한 인간에게 행복은 몸과 마음의 평안을 누리는 것이다. 이 행복은 행복을 위한 행복, 즉 보편적이며 절대적인 가치로서의 행복으로부터 도출된 행복이다. 마지막 인간의 이러한 행복은 언제 작은 고통 앞에서 허물어질지도 모르는 우둔한 행복이다. 언제 사라져버릴지 모르기 때문에 마지막 인간은 이것을 더욱 보존하고자 애를 쓰며, 변화와 도약을 두려워하게 된다. 그렇게 마지막 인간은 춤출 수 없게 된다. 마지막 인간의 행복은 그를 춤추지 못하게 끌어내리는 중력으로 작용한다. 

위버멘쉬적 삶을 사는 인간에게 행복은 보존해야만 하는 무거운 짐이 아니라, 끊임없는 변화 속에서 매순간 새롭게 경험되는 것이다. 

이들에게 행복은 ‘힘이 증가되고 있다는 느낌, 저항을 초극했다는 느낌’을 의미한다. 

… 위버멘쉬는 동경과 회상에서 벗어난 존재, 그리워하지 않는 존재다. 위버멘쉬는 망각하고 춤추며 넘어가고, 미래를 향해 현재의 가능성을 실현한다.
",,4bf5b13f319b4f00816dadfc3883b2ba,,위버멘쉬(초인),f0d1244d59b045739b4b9983ca200268,,,,,,,,
3,,,,,,,,,,,,,,,,,,"박찬국, 『차라투스트라, 그에게 삶의 의미를 묻다』, 세창출판사, 2020,",,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,"박찬국, 『안티크리스트』, 아카넷, 2020,",,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,"이상범 L. S. (2020). 니체의 철학적 메타포 ’춤(Tanz)’에 대한 텍스트 내재적 분석. 철학연구, 151–177.",,,,,,,,,,,,,,,,,,,,,,
6,3,04ca76debff24fb3a1d2cb12c8f01388,0,이렇게 하여 차라투스트라의 몰락이 시작되었다.,0,집필완료,팡민,2021-05-10 02:00:53,2023-05-29 22:06:07,비유,★★★,f053076c279347b3b50a69a4be0762ca,1,패러디. 불교 경전에서 붓다의 설법이 끝날 때 반복되는 문장을 모방한 것이다. 그리고 성서의 '예수 그리스도가 이렇게 말했다'라고 쓴 것과도 같은 형식이다.,14482d489e624b38a9ae8807295fc665,"""차라투스트라는 이렇게 말했다. 그는 이때 얼룩소라는 도시에 머물고 있었다."" 

- 민음사『차라투스트라는 이렇게 말했다』1부 - 세가지 변화에 대하여, p.38.",,"이진우, 『인생에 한번은 차라투스트라』, 휴머니스트출판그룹, 2020",성서 패러디라고 보는 게 더 일관성 있는 것 같다.,,,,,,,,,,,,,,,,,,,,,
7,4,0e297c0d05f8419181fdaccb6f3513af,0,강물,0,집필완료,팡민,2021-05-12 22:58:58,2023-05-02 17:01:30,비유,★★★,,1,"경멸스러운 인간. 초인을 의미하는 바다와 대비되는 은유다. 바다가 오염된 강물을 다 받아들이는 것처럼, 초인은 오염된 인간의 경멸을 모두 받아들이고 정화할 수 있는 존재다.",428ba4ae33974191bc19c42479e91b13,"""그렇다. 인간은 더러운 강물이다. 그러므로 우리는 먼저 바다가 되어야 한다. 더러워지지 않으면서 더러운 강물을 받아들이려면.""

 - 민음사『차라투스트라는 이렇게 말했다』1부 - 차라투스트라의 머리말 - 3, p.17.",,"최상욱, 『차라투스트라는 이렇게 말했다 메타포로 읽기』, 서광사, 2015.",,,"강물과 바다의 은유는 상승하기 위해서는 몰락해야 한다는 입장이 반영된 것이다. 오염된 인간인 강물이 정화되기 위해서는 바다로 흘러내려가야 하는 것이다. 바다와 강물의 은유에서 강물의 '오염된 인간' 의미를 확장하면, 강물은 이 세계에 존재하는 모순들을 의미하는 것으로도 볼 수 있다. 니체의 초인은 변증법처럼 모순의 발전, 화해, 해결을 추구하지 않는다. 모순의 해결은 허구적인 세계에서나 가능하다. 초인은 바다가 강물을 받아들이듯이 지상의 모든 모순을 그대로 수용하고 긍정할 수 있는 자다. 초인이 되려는 자에게 던져지는 가장 큰 물음은 '얼마나 많은 모순을 견딜 수 있는가'이다.",,,,,,,,,,바다,bdaa72ab541149de84362ff362d0e5fd,,,,,,,,
8,,,,,,,,,,,,,,,,,,"이진우, 『인생에 한번은 차라투스트라』, 휴머니스트출판그룹, 2020",,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,"박찬국, 『들뢰즈의 『니체와 철학』읽기』, 세창미디어, 2020,",,,,,,,,,,,,,,,,,,,,,,
